No,Title,Author,Publisher,Year
230,බස් සැරිසරන සදොස් දාම භාවිතා කරමින්,එ. එක්. වැන්බරි,NARA,
231,මාක්ස්‍යොගම පර්යේෂණ සහ සංවර්ධන වරිපනම් විද්‍යා අංශයක්,National Aquatic Resources Agency,NARA,
232,ජල කෘෂිකර්මාන්තය,National Aquatic Resources Agency,NARA,
233,බොග්මන්හාර සුරවරද්ධ වීම,National Aquatic Resources Agency,NARA,
234,Exploited finfishery resources of Sri Lanka,චන්දන ගුණවර්ධන,NARA,
235,Scombrids Sharks,චන්දන ගුණවර්ධන,NARA,
236,Seaweeds Guide (English),සුසිරි විජේසුන්දර,NARA,
237,රූපලාවන්ය,National Aquatic Resources Agency,NARA,
238,හැඳින්වීම සිංහල විද්‍යා පරිවර්තනය ශ්‍රී ලංකාවේ විවිධාකාර සෝනික්,එන්. කපුරුසිංහ,NARA,
239,මාක්ස්‍යොගම ප්‍රදේශවල ලාභ සහ අලාභ ඇති එකී තෙල් බීජ ශාක මාර්ග කිහිපයක,National Aquatic Resources Agency,NARA,
240,කලපුව ප්‍රදේශය සහ සාගරයේ,වෙන්ඩී නිශාන්තා,NARA,
241,Fishes of Bolgoda Lake,තිලක් අබේවර්ධන,NARA,
242,Field Guide to Fishing Crafts and Gears of Sri Lanka,ඒ.ඩී.එස්. කපුගේදර,NARA,
243,පැලෑටිය ඇතැම් බණ,National Aquatic Resources Agency,NARA,
244,Remote Sensing and GIS Applications in Fisheries and Aquatic Resource Management (A Review),රංජිත් ජයරත්නය,NARA,
245,Field guide to Ornamental fish of Sri Lanka,තිලක් අබේවර්ධන,NARA,2012
246,බහු ප්‍රයෝජන මාර්ගෝපදේශනය ගුවන් ඡායා ග්‍රහණයේ සහ භුමි තත්ව පද්ධතිය මාඵල් කර්මාන්තයේ සහ ජල කෘෂි සම්පත් කළමනාකරණයේ වැඩ කටයුතු,එන්. කපුරුසිංහ,NARA,
247,Guide to Fishing Boat Building Techniques in Sri Lanka,ධනුෂ්ක සානම් එදිරිසිංහ,NARA,2021
248,Tide tables for the Year,පරිසර සම්පත් සංවර්ධන හා අධ්‍යාපන අමාත්‍යාංශය,NARA,1994
249,Tide tables for the Year 1995,පරිසර සම්පත් සංවර්ධන හා අධ්‍යාපන අමාත්‍යාංශය,NARA,1995
250,Tide tables for the Year 1996,පරිසර සම්පත් සංවර්ධන හා අධ්‍යාපන අමාත්‍යාංශය,NARA,1996
251,අධ්‍යයන කමිටු ප්‍රතිඵල ඉදිරිපත් කිරීමේ රීති මාලාව - පිළිගත් සතිය,National Aquatic Resources Agency,NARA,1998
252,මට්ටම විද්‍යුත් උපකරණ ශ්‍රී ලංකාව 1994,National Aquatic Resources Agency,NARA,1998
253,Impact of Tsunami on coastal ecosystems of Sri Lanka,National Aquatic Resources Agency,NARA,2006
254,සෝනික් පාලනය හා කළමණාකරණය,National Aquatic Resources Agency,NARA,
255,Special publication No.33 National report on the state of blue carbon ecosystems in Sri Lanka,National Aquatic Resources Agency,NARA,2022
256,නවාතැන් මාර්ග පද්ධති සාගර තොග පැළැ,චාමරි හෙට්ටිආරච්චි,NARA,
257,Field guide to identification of Microalgae from North-Western and Northern coastal waters,චාමරි හෙට්ටිආරච්චි,NARA,2023
